Year,113 Cause Name,Cause Name,Deaths,Age-adjusted Death Rate
2011,Alzheimer's disease (G30),Alzheimer's disease,349,15.8
2011,Cerebrovascular diseases (I60-I69),Stroke,889,36.0
2011,Chronic lower respiratory diseases (J40-J47),CLRD,1243,49.8
2011,Diabetes mellitus (E10-E14),Diabetes,400,15.1
2011,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,5043,196.3
2011,Influenza and pneumonia (J09-J18),Influenza and pneumonia,499,19.7
2011,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,516,18.4
2011,Malignant neoplasms (C00-C97),Cancer,4606,170.2
2011,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,412,16.6
2012,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1177,42.4
2012,All Causes,All causes,20785,774.6
2012,Alzheimer's disease (G30),Alzheimer's disease,356,15.3
2012,Cerebrovascular diseases (I60-I69),Stroke,897,34.3
2012,Chronic lower respiratory diseases (J40-J47),CLRD,1370,52.0
2012,Diabetes mellitus (E10-E14),Diabetes,438,15.9
2012,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,5166,192.5
2012,Influenza and pneumonia (J09-J18),Influenza and pneumonia,496,19.0
2012,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,524,18.2
2012,Malignant neoplasms (C00-C97),Cancer,4610,163.6
2012,"Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)",Kidney disease,385,14.4
2013,"Accidents (unintentional injuries) (V01-X59,Y85-Y86)",Unintentional injuries,1184,41.9
2013,All Causes,All causes,21468,769.8
2013,Alzheimer's disease (G30),Alzheimer's disease,448,18.4
2013,Cerebrovascular diseases (I60-I69),Stroke,905,33.3
2013,Chronic lower respiratory diseases (J40-J47),CLRD,1482,54.1
2013,Diabetes mellitus (E10-E14),Diabetes,424,14.8
2013,"Diseases of heart (I00-I09,I11,I13,I20-I51)",Heart disease,5434,195.1
2013,Influenza and pneumonia (J09-J18),Influenza and pneumonia,513,18.6
2013,"Intentional self-harm (suicide) (*U03,X60-X84,Y87.0)",Suicide,541,18.6
2013,Malignant neoplasms (C00-C97),Cancer,4817,164.8
